"","group","D_D2_idp_source_lga_rank1","D_D2_idp_source_lga_rank2","D_D2_idp_source_lga_rank3","D_D2_idp_source_lga_rank4","D_D2_idp_source_lga_rank5","D_D2_idp_source_lga_name1","D_D2_idp_source_lga_name2","D_D2_idp_source_lga_name3","D_D2_idp_source_lga_name4","D_D2_idp_source_lga_name5"
"1","NG008001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NG008002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NG008003","0.6667","0.3333",NA,NA,NA,"Bama","Gwoza",NA,NA,NA
"4","NG008008","1.0000",NA,NA,NA,NA,"Dikwa",NA,NA,NA,NA
"5","NG008010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NG008011","1.0000",NA,NA,NA,NA,"Gwoza",NA,NA,NA,NA
"7","NG008015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NG008016","1.0000",NA,NA,NA,NA,"Konduga",NA,NA,NA,NA
"9","NG008017","1.0000",NA,NA,NA,NA,"Kukawa",NA,NA,NA,NA
"10","NG008019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","NG008022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NG008025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
