"","group","D_D2_idp_time_arrive_rank1","D_D2_idp_time_arrive_rank2","D_D2_idp_time_arrive_rank3","D_D2_idp_time_arrive_rank4","D_D2_idp_time_arrive_rank5","D_D2_idp_time_arrive_name1","D_D2_idp_time_arrive_name2","D_D2_idp_time_arrive_name3","D_D2_idp_time_arrive_name4","D_D2_idp_time_arrive_name5"
"1","NG008001","1.0000",NA,NA,NA,NA,"4-6 Months",NA,NA,NA,NA
"2","NG008002","1.0000",NA,NA,NA,NA,"4-6 Months",NA,NA,NA,NA
"3","NG008003","0.4167","0.2500","0.1667","0.0833","0.0833","7-12 Months","1 Year","1 Month","3 Months","4-6 Months"
"4","NG008008","0.4000","0.2000","0.2000","0.2000",NA,"3 Months","1 Month","7-12 Months","4-6 Months",NA
"5","NG008010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NG008011","0.6364","0.3636",NA,NA,NA,"1 Month","3 Months",NA,NA,NA
"7","NG008015","0.6667","0.3333",NA,NA,NA,"1 Year","4-6 Months",NA,NA,NA
"8","NG008016","1.0000",NA,NA,NA,NA,"7-12 Months",NA,NA,NA,NA
"9","NG008017","0.5000","0.5000",NA,NA,NA,"1 Year","7-12 Months",NA,NA,NA
"10","NG008019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","NG008022","1.0000",NA,NA,NA,NA,"1 Year",NA,NA,NA,NA
"12","NG008025","1.0000",NA,NA,NA,NA,"1 Year",NA,NA,NA,NA
