"","group","F_mortality_eldery_rank1","F_mortality_eldery_rank2","F_mortality_eldery_rank3","F_mortality_eldery_rank4","F_mortality_eldery_rank5","F_mortality_eldery_name1","F_mortality_eldery_name2","F_mortality_eldery_name3","F_mortality_eldery_name4","F_mortality_eldery_name5"
"1","NG008001","1.0000",NA,NA,NA,NA,"Natural causes of death (e.g. old age)",NA,NA,NA,NA
"2","NG008002","1.0000",NA,NA,NA,NA,"Natural causes of death (e.g. old age)",NA,NA,NA,NA
"3","NG008003","0.9231","0.0769",NA,NA,NA,"Natural causes of death (e.g. old age)","Other",NA,NA,NA
"4","NG008008","1.0000",NA,NA,NA,NA,"Hunger / Malnutrition",NA,NA,NA,NA
"5","NG008010","0.8333","0.1667",NA,NA,NA,"Malaria / Fever","Natural causes of death (e.g. old age)",NA,NA,NA
"6","NG008011","0.8889","0.1111",NA,NA,NA,"Hunger / Malnutrition","Cholera / Diarrhea",NA,NA,NA
"7","NG008015","0.8333","0.1667",NA,NA,NA,"Natural causes of death (e.g. old age)","Malaria / Fever",NA,NA,NA
"8","NG008016","1.0000",NA,NA,NA,NA,"Natural causes of death (e.g. old age)",NA,NA,NA,NA
"9","NG008017","1.0000",NA,NA,NA,NA,"Malaria / Fever",NA,NA,NA,NA
"10","NG008019","1.0000",NA,NA,NA,NA,"Hunger / Malnutrition",NA,NA,NA,NA
"11","NG008022","0.5000","0.2500","0.125","0.125",NA,"Malaria / Fever","Hunger / Malnutrition","Cholera / Diarrhea","Natural causes of death (e.g. old age)",NA
"12","NG008025","0.6667","0.3333",NA,NA,NA,"Natural causes of death (e.g. old age)","Kalazar",NA,NA,NA
