"","group","I_I1_nd_shelter_type1_rank1","I_I1_nd_shelter_type1_rank2","I_I1_nd_shelter_type1_rank3","I_I1_nd_shelter_type1_name1","I_I1_nd_shelter_type1_name2","I_I1_nd_shelter_type1_name3"
"1","NG008001","1.0000",NA,NA,"Makeshift shelter (plastic sheet and other materials)",NA,NA
"2","NG008002","1.0000",NA,NA,"Makeshift shelter (plastic sheet and other materials)",NA,NA
"3","NG008003","0.8182","0.0909","0.0909","Makeshift shelter (plastic sheet and other materials)","Permanent structure (e.g. brick, metal roof)","Personal Tent"
"4","NG008008","1.0000",NA,NA,"Personal Tent",NA,NA
"5","NG008010","1.0000",NA,NA,"Makeshift shelter (plastic sheet and other materials)",NA,NA
"6","NG008011","0.8000","0.2000",NA,"Permanent structure (e.g. brick, metal roof)","Abandoned building",NA
"7","NG008015","1.0000",NA,NA,"Permanent structure (e.g. brick, metal roof)",NA,NA
"8","NG008016","1.0000",NA,NA,"Makeshift shelter (plastic sheet and other materials)",NA,NA
"9","NG008017","1.0000",NA,NA,"Makeshift shelter (plastic sheet and other materials)",NA,NA
"10","NG008019","1.0000",NA,NA,"Personal Tent",NA,NA
"11","NG008022","0.6250","0.2500","0.1250","Makeshift shelter (plastic sheet and other materials)","Personal Tent","Permanent structure (e.g. brick, metal roof)"
"12","NG008025","1.0000",NA,NA,"Permanent structure (e.g. brick, metal roof)",NA,NA
