"","group","I_I1_rt_location_rank1","I_I1_rt_location_rank2","I_I1_rt_location_rank3","I_I1_rt_location_name1","I_I1_rt_location_name2","I_I1_rt_location_name3"
"1","NG008001",NA,NA,NA,NA,NA,NA
"2","NG008002","1.0",NA,NA,"Away from their homes in the bush / swamp / forest / hills",NA,NA
"3","NG008003",NA,NA,NA,NA,NA,NA
"4","NG008008","1.0",NA,NA,"Another home in the same village",NA,NA
"5","NG008010","1.0",NA,NA,"In their proper home",NA,NA
"6","NG008011","1.0",NA,NA,"Another home in the same village",NA,NA
"7","NG008015",NA,NA,NA,NA,NA,NA
"8","NG008016",NA,NA,NA,NA,NA,NA
"9","NG008017","0.5","0.5",NA,"Away from their homes in the bush / swamp / forest / hills","In their proper home",NA
"10","NG008019",NA,NA,NA,NA,NA,NA
"11","NG008022",NA,NA,NA,NA,NA,NA
"12","NG008025",NA,NA,NA,NA,NA,NA
